name;url;average_product_count;latest_product_count;latest_timestamp_CEST
Bluetooth Lautsprecher;https://www.medion.com/de/shop/bluetooth-lautsprecher;12,0;12;2026-09-09 20:38:43
Bluetooth-KopfhÃ¶rer;https://www.medion.com/at/shop/audio/bluetooth-kopfhoerer;161,0;0;2026-09-09 20:38:43
Bodenreiniger;https://www.medion.com/at/shop/bodenreiniger;2,0;2;2026-09-09 20:38:43
Bodenreiniger;https://www.medion.com/de/shop/bodenreiniger;2,0;2;2026-09-09 20:38:43
Boomboxen;https://www.medion.com/de/shop/audio/boomboxen;12,0;12;2026-09-09 20:38:43
Brotbackautomaten;https://www.medion.com/at/shop/kueche/brotbackautomaten;2,0;2;2026-09-09 20:38:43
Brotbackautomaten;https://www.medion.com/de/shop/kueche/brotbackautomaten;2,0;2;2026-09-09 20:38:43
Camping;https://www.medion.com/at/shop/camping;30,0;30;2026-09-09 20:38:43
Camping;https://www.medion.com/de/shop/camping;35,0;35;2026-09-09 20:38:43
Core Gaming Notebooks;https://www.medion.com/at/shop/core-gaming-notebooks;8,0;8;2026-09-09 20:38:43
Core Gaming Notebooks;https://www.medion.com/de/shop/core-gaming-notebooks;8,0;8;2026-09-09 20:38:43
Core Gaming PCs;https://www.medion.com/at/shop/core-gaming-pc;6,43;7;2026-09-09 20:38:43
Core Gaming PCs;https://www.medion.com/de/shop/core-gaming-pc;6,43;7;2026-09-09 20:38:43
DAB Radios;https://www.medion.com/at/shop/dab-radios;23,0;23;2026-09-09 20:38:43
DAB Radios;https://www.medion.com/de/shop/dab-radios;10,0;10;2026-09-09 20:38:43
Defender 17 P10;https://www.medion.com/de/shop/lp/erazer/defender-17-p10;3,0;3;2026-09-09 20:38:43
Desktop-PCs;https://www.medion.com/at/shop/desktop-pcs;1,0;1;2026-09-09 20:38:43
Desktop-PCs;https://www.medion.com/de/shop/pc/desktop;1,0;1;2026-09-09 20:38:43
Digitale NÃ¤hmaschinen;https://www.medion.com/at/shop/haushalt/naehmaschinen/digital;2,0;2;2026-09-09 20:38:43
Digitale NÃ¤hmaschinen;https://www.medion.com/de/shop/haushalt/naehmaschinen/digital;2,0;2;2026-09-09 20:38:43
Drucker;https://www.medion.com/de/shop/pc/drucker;2,0;2;2026-09-09 20:38:43
Drucker & Patronen;https://www.medion.com/at/shop/drucker;2,0;2;2026-09-09 20:38:43
Einsteiger;https://www.medion.com/at/shop/tv/einsteiger;6,0;6;2026-09-09 20:38:43
Einsteiger;https://www.medion.com/de/shop/tv/einsteiger;6,0;6;2026-09-09 20:38:43
Einsteiger PC;https://www.medion.com/at/shop/einsteiger-pc;1,0;1;2026-09-09 20:38:43
Einsteiger PC;https://www.medion.com/de/shop/einsteiger-pc;1,0;1;2026-09-09 20:38:43
Einsteiger-Laptops;https://www.medion.com/at/shop/laptops/einsteiger;1,0;1;2026-09-09 20:38:43
Einsteiger-Laptops;https://www.medion.com/de/shop/laptops/einsteiger;1,0;1;2026-09-09 20:38:43
Eismaschinen;https://www.medion.com/at/shop/eismaschinen;5,86;5;2026-09-09 20:38:43
Eismaschinen;https://www.medion.com/de/shop/kueche/eismaschine;5,86;5;2026-09-09 20:38:43
EiswÃ¼rfelmaschinen;https://www.medion.com/at/shop/kueche/eiswuerfelmaschinen;1,86;1;2026-09-09 20:38:43
