name	url	average_product_count	historical_min_product_count	historical_max_product_count	latest_product_count	latest_timestamp_CEST
Digitale Nähmaschinen	https://www.medion.com/at/shop/haushalt/naehmaschinen/digital	2,0	2	2	2	2026-09-15 14:51:20
Digitale Nähmaschinen	https://www.medion.com/de/shop/haushalt/naehmaschinen/digital	2,0	2	2	2	2026-09-15 14:51:20
Drucker	https://www.medion.com/de/shop/pc/drucker	2,0	2	2	2	2026-09-15 14:51:20
Drucker & Patronen	https://www.medion.com/at/shop/drucker	2,0	2	2	2	2026-09-15 14:51:20
Dunstabzugshaube	https://www.medion.com/de/shop/kueche/kuechengeraete-kochen?pageSize=12&q=-sk-kochen-zubereiten-alle-kuechengeraete%253AProduktart%253BDunstabzugshaube%253Acategory_id%253BY59BWRN59G4ZVE14466UH1K83PHHXZR7&text=-sk-kochen-zubereiten-alle-kuechengeraete&sort=FFClickCount-desc&followSearch=	0,0	0	0	0	2026-09-15 14:51:20
Einsteiger	https://www.medion.com/at/shop/tv/einsteiger	5,93	5	7	7	2026-09-15 14:51:20
Einsteiger	https://www.medion.com/de/shop/tv/einsteiger	5,93	5	7	7	2026-09-15 14:51:20
Einsteiger PC	https://www.medion.com/at/shop/einsteiger-pc	1,0	1	1	1	2026-09-15 14:51:20
Einsteiger PC	https://www.medion.com/de/shop/einsteiger-pc	1,0	1	1	1	2026-09-15 14:51:20
Einsteiger-Laptops	https://www.medion.com/at/shop/laptops/einsteiger	1,0	1	1	1	2026-09-15 14:51:20
Einsteiger-Laptops	https://www.medion.com/de/shop/laptops/einsteiger	1,0	1	1	1	2026-09-15 14:51:20
Eismaschinen	https://www.medion.com/at/shop/eismaschinen	5,12	5	6	6	2026-09-15 14:51:20
Eismaschinen	https://www.medion.com/de/shop/kueche/eismaschine	5,12	5	6	6	2026-09-15 14:51:20
Eiswürfelmaschinen	https://www.medion.com/at/shop/kueche/eiswuerfelmaschinen	1,12	1	2	2	2026-09-15 14:51:20
Eiswürfelmaschinen	https://www.medion.com/de/shop/kueche/eiswuerfelmaschinen	1,12	1	2	2	2026-09-15 14:51:20
FHD TVs	https://www.medion.com/at/shop/tv/fhd	16,78	16	17	16	2026-09-15 14:51:20
FHD TVs	https://www.medion.com/de/shop/tv/fhd	16,78	16	17	16	2026-09-15 14:51:20
Festival	https://www.medion.com/at/shop/festival	27,0	27	27	27	2026-09-15 14:51:20
Festival	https://www.medion.com/de/shop/festival	27,0	27	27	27	2026-09-15 14:51:20
Fire TVs	https://www.medion.com/at/shop/tv/fire-tv	0,0	0	0	0	2026-09-15 14:51:20
Fire TVs	https://www.medion.com/de/shop/tv/fire-tv	0,0	0	0	0	2026-09-15 14:51:20
Fitness & Gesundheit	https://www.medion.com/at/shop/koerperpflege-gesundheit	8,0	8	8	8	2026-09-15 14:51:20
Fitness & Gesundheit	https://www.medion.com/de/shop/koerperpflege-gesundheit	8,0	8	8	8	2026-09-15 14:51:20
Freiarm Nähmaschinen	https://www.medion.com/at/shop/haushalt/naehmaschinen/freiarm	4,0	4	4	4	2026-09-15 14:51:20
Freiarm Nähmaschinen	https://www.medion.com/de/shop/haushalt/naehmaschinen/freiarm	4,0	4	4	4	2026-09-15 14:51:20
Frühjahrsputz	https://www.medion.com/at/shop/fruehjahrsputz	23,34	23	24	23	2026-09-15 14:51:20
Frühjahrsputz	https://www.medion.com/de/shop/fruehjahrsputz	30,34	30	31	30	2026-09-15 14:51:20
Frühstück	https://www.medion.com/at/shop/kuechengeraete-fruehstueck	11,0	11	11	11	2026-09-15 14:51:20
Frühstück	https://www.medion.com/de/shop/kuechengeraete-fruehstueck	11,0	11	11	11	2026-09-15 14:51:20
Gaming Angebote	https://www.medion.com/at/shop/gaming/angebote	9,12	2	13	3	2026-09-15 14:51:20
Gaming Days	https://www.medion.com/at/shop/gaming-days					2026-09-15 14:51:20
Gaming Days	https://www.medion.com/de/shop/gaming-days					2026-09-15 14:51:20
Gaming Headset - Listing	https://www.medion.com/de/shop/gaming/zubehoer?pageSize=12&q=*%253AProduktart%253BGaming-Headset%253Acategory_id%253B57B5BBBBF4D6C082CC941A52F9341543&text=*&sort=FFClickCount-desc&followSearch=	1,0	1	1	1	2026-09-15 14:51:20
Gaming Laptop vs Gaming Desktop	https://www.medion.com/de/shop/gaming/alle?pageSize=12&q=-sk-alle-gaming%253AcategoryPath%253BGaming%253AProduktart%253BGaming&text=-sk-alle-gaming&sort=FFClickCount-desc&followSearch=	27,58	25	28	25	2026-09-15 14:51:20
Gaming Laptop vs normaler Laptop	https://www.medion.com/de/shop/search?text=laptop	26,85	25	28	25	2026-09-15 14:51:20
Gaming PC vs normaler PC	https://www.medion.com/de/shop/gaming/pc | https://www.medion.com/de/shop/pc/alle					2026-09-15 14:51:20
Gaming-Laptops	https://www.medion.com/at/shop/gaming/laptop	11,59	9	14	9	2026-09-15 14:51:20
Gaming-Laptops	https://www.medion.com/de/shop/gaming/laptop	12,59	10	15	10	2026-09-15 14:51:20
Gaming-Monitore	https://www.medion.com/at/shop/gaming-monitore	2,37	2	3	3	2026-09-15 14:51:20
Gaming-Monitore	https://www.medion.com/de/shop/gaming/monitor	2,37	2	3	3	2026-09-15 14:51:20
Gaming-PCs	https://www.medion.com/at/shop/pc-gamer	15,98	15	16	15	2026-09-15 14:51:20
Gaming-PCs	https://www.medion.com/de/shop/gaming/pc	15,98	15	16	15	2026-09-15 14:51:20
Gaming-Zubehör	https://www.medion.com/at/shop/gaming-zubehoer	3,0	3	3	3	2026-09-15 14:51:20
